Date,Open,High,Low,Close,Volume,Adj Close
2009-10-21,7.58,7.84,7.25,7.30,2686100,7.30
2009-10-20,7.91,7.98,7.52,7.63,2256900,7.63
2009-10-19,7.82,8.00,7.74,7.89,3040800,7.89
2009-10-16,7.90,7.94,7.60,7.76,2403100,7.76
2009-10-15,7.81,8.20,7.77,8.00,5395900,8.00
2009-10-14,7.54,7.87,7.32,7.85,5965900,7.85
2009-10-13,7.16,7.55,7.04,7.38,3732600,7.38
2009-10-12,7.07,7.40,7.05,7.11,3824300,7.11
2009-10-09,6.87,7.25,6.83,7.01,4554300,7.01
2009-10-08,6.72,7.18,6.66,6.88,4583200,6.88
2009-10-07,6.56,6.72,6.48,6.63,1134400,6.63
2009-10-06,6.59,6.75,6.52,6.61,2698500,6.61
2009-10-05,6.24,6.55,6.21,6.51,2866300,6.51
2009-10-02,6.18,6.37,6.07,6.17,2252800,6.17
2009-10-01,6.62,6.84,6.24,6.28,5315900,6.28
2009-09-30,6.81,6.83,6.42,6.65,3398500,6.65
2009-09-29,6.63,6.87,6.61,6.77,1917400,6.77
2009-09-28,6.34,6.63,6.30,6.61,2190700,6.61
2009-09-25,6.26,6.34,5.87,6.32,3342600,6.32
2009-09-24,6.76,6.80,6.27,6.31,2899700,6.31
2009-09-23,6.80,6.95,6.67,6.73,2719400,6.73
2009-09-22,6.67,6.85,6.60,6.78,1440700,6.78
2009-09-21,6.59,6.73,6.31,6.60,1886900,6.60
2009-09-18,6.72,6.75,6.58,6.69,1756400,6.69
2009-09-17,6.91,7.13,6.60,6.69,3172700,6.69
2009-09-16,7.00,7.06,6.88,6.94,2603200,6.94
2009-09-15,7.16,7.26,6.85,6.95,4473500,6.95
2009-09-14,6.83,7.26,6.72,7.19,5728000,7.19
2009-09-11,7.03,7.11,6.75,6.85,2617000,6.85
2009-09-10,6.90,6.97,6.81,6.94,2128200,6.94
2009-09-09,6.72,7.00,6.66,6.94,2824800,6.94
2009-09-08,6.50,6.75,6.48,6.73,3494300,6.73
2009-09-04,6.27,6.49,6.18,6.44,1883900,6.44
2009-09-03,6.28,6.48,6.10,6.26,1938500,6.26
2009-09-02,6.10,6.43,5.92,6.23,3375400,6.23
2009-09-01,6.29,6.68,6.05,6.19,4166100,6.19
2009-08-31,6.47,6.47,6.32,6.35,2218200,6.35
2009-08-28,6.88,6.97,6.50,6.56,2434900,6.56
2009-08-27,6.57,6.87,6.32,6.81,3456600,6.81
2009-08-26,6.87,6.92,6.54,6.59,2835100,6.59
2009-08-25,6.76,6.97,6.58,6.86,3898200,6.86
2009-08-24,7.12,7.43,6.54,6.63,5559900,6.63
2009-08-21,7.07,7.45,6.88,6.95,6378500,6.95
2009-08-20,6.62,6.89,6.58,6.85,4079800,6.85
2009-08-19,6.24,6.73,6.14,6.60,4849900,6.60
2009-08-18,5.95,6.58,5.95,6.37,5738800,6.37
2009-08-17,5.92,6.00,5.75,5.89,3119200,5.89
2009-08-14,6.61,6.70,6.25,6.32,4675400,6.32
2009-08-13,6.62,6.85,6.49,6.61,4967700,6.61
2009-08-12,6.12,6.87,6.00,6.56,10213200,6.56
2009-08-11,5.94,6.30,5.77,6.11,6813800,6.11
2009-08-10,5.31,6.41,5.15,5.99,14255200,5.99
2009-08-07,5.51,5.98,5.15,5.49,21770600,5.49
2009-08-06,4.13,4.54,3.95,4.27,8433500,4.27
2009-08-05,4.15,4.27,3.85,4.06,3568400,4.06
2009-08-04,3.90,4.32,3.77,4.17,4777900,4.17
2009-08-03,3.47,3.99,3.45,3.92,3825900,3.92
2009-07-31,3.48,3.56,3.34,3.42,1802600,3.42
2009-07-30,3.54,3.58,3.46,3.52,1228800,3.52
2009-07-29,3.65,3.65,3.39,3.49,1387900,3.49
2009-07-28,3.47,3.65,3.43,3.61,1299000,3.61
2009-07-27,3.57,3.60,3.44,3.58,1284900,3.58
2009-07-24,3.32,3.60,3.25,3.58,2166300,3.58
2009-07-23,3.20,3.39,3.20,3.39,2219700,3.39
2009-07-22,3.11,3.27,3.06,3.25,1142400,3.25
2009-07-21,3.33,3.39,3.05,3.17,1802000,3.17
2009-07-20,3.03,3.29,3.00,3.25,2518400,3.25
2009-07-17,2.96,3.19,2.91,3.10,2668200,3.10
2009-07-16,3.10,3.25,2.96,3.12,2097900,3.12
2009-07-15,3.21,3.25,3.09,3.18,2028300,3.18
2009-07-14,2.92,3.22,2.86,3.11,1947900,3.11
2009-07-13,2.73,2.91,2.67,2.91,1833600,2.91
2009-07-10,2.71,2.86,2.65,2.72,1816700,2.72
2009-07-09,2.70,2.93,2.69,2.74,2140200,2.74
2009-07-08,3.00,3.12,2.55,2.69,3712000,2.69
2009-07-07,3.13,3.21,2.97,2.98,1500800,2.98
2009-07-06,3.19,3.24,3.05,3.19,1053100,3.19
2009-07-02,3.40,3.44,3.21,3.21,1453700,3.21
2009-07-01,3.45,3.56,3.41,3.51,1003400,3.51
2009-06-30,3.49,3.61,3.40,3.40,2159400,3.40
2009-06-29,3.81,3.84,3.42,3.49,3814800,3.49
2009-06-26,3.53,3.84,3.49,3.84,3936600,3.84
2009-06-25,3.38,3.58,3.35,3.57,1229700,3.57
2009-06-24,3.36,3.54,3.35,3.40,1450200,3.40
2009-06-23,3.20,3.34,3.10,3.28,1825800,3.28
2009-06-22,3.63,3.65,3.11,3.11,2224000,3.11
2009-06-19,3.59,3.80,3.55,3.60,2970700,3.60
2009-06-18,3.36,3.73,3.25,3.52,3095600,3.52
2009-06-17,3.65,3.66,3.36,3.41,2361300,3.41
2009-06-16,4.01,4.20,3.65,3.68,3521200,3.68
2009-06-15,3.86,4.08,3.67,3.99,3631700,3.99
2009-06-12,4.00,4.17,3.90,3.95,4133800,3.95
2009-06-11,3.63,4.50,3.62,4.25,10500600,4.25
2009-06-10,3.35,3.89,3.30,3.66,7179000,3.66
2009-06-09,3.18,3.38,3.15,3.25,1279000,3.25
2009-06-08,3.30,3.33,3.07,3.16,1385100,3.16
2009-06-05,3.06,3.43,3.06,3.30,2760300,3.30
2009-06-04,2.90,3.10,2.90,3.04,1148200,3.04
2009-06-03,2.92,3.02,2.80,3.00,1381400,3.00
2009-06-02,3.01,3.09,2.80,3.02,1869900,3.02
2009-06-01,3.00,3.22,2.98,3.09,3152000,3.09
2009-05-29,2.61,2.97,2.55,2.91,4623200,2.91
2009-05-28,2.61,2.65,2.54,2.59,1315600,2.59
2009-05-27,2.60,2.66,2.54,2.60,1395700,2.60
2009-05-26,2.47,2.69,2.40,2.61,2728400,2.61
2009-05-22,2.56,2.62,2.41,2.45,1442800,2.45
2009-05-21,2.50,2.57,2.40,2.53,1658500,2.53
2009-05-20,2.74,2.83,2.50,2.51,2307600,2.51
2009-05-19,2.43,2.74,2.37,2.66,4354300,2.66
2009-05-18,2.28,2.40,2.25,2.39,1488000,2.39
2009-05-15,2.30,2.40,2.19,2.25,2325500,2.25
2009-05-14,2.20,2.37,2.13,2.25,1891300,2.25
2009-05-13,2.51,2.62,2.24,2.24,2897700,2.24
2009-05-12,2.78,2.84,2.48,2.58,2338500,2.58
2009-05-11,2.53,2.89,2.42,2.72,4670800,2.72
2009-05-08,2.80,2.90,2.36,2.52,8657300,2.52
2009-05-07,3.85,3.85,3.26,3.48,5173800,3.48
2009-05-06,4.17,4.25,3.50,3.70,6807800,3.70
2009-05-05,3.44,3.90,3.35,3.75,7693700,3.75
2009-05-04,2.37,3.29,2.35,3.25,9169400,3.25
2009-05-01,2.29,2.37,2.21,2.29,1158900,2.29
2009-04-30,2.40,2.43,2.25,2.25,2090900,2.25
2009-04-29,2.24,2.38,2.23,2.27,1676400,2.27
2009-04-28,2.07,2.27,2.02,2.21,1487100,2.21
2009-04-27,2.17,2.29,2.01,2.09,2776600,2.09
2009-04-24,2.40,2.43,2.23,2.29,1801400,2.29
2009-04-23,2.34,2.60,2.21,2.34,3957100,2.34
2009-04-22,1.92,2.49,1.90,2.34,5725400,2.34
2009-04-21,1.86,1.98,1.79,1.91,2702400,1.91
2009-04-20,1.95,1.96,1.78,1.86,2123600,1.86
2009-04-17,2.07,2.15,1.93,1.98,2754300,1.98
2009-04-16,1.97,2.17,1.80,2.06,3906600,2.06
2009-04-15,1.67,1.95,1.65,1.88,2920300,1.88
2009-04-14,1.72,1.74,1.61,1.68,980900,1.68
2009-04-13,1.63,1.72,1.59,1.72,788700,1.72
2009-04-09,1.57,1.66,1.55,1.64,1628000,1.64
2009-04-08,1.45,1.55,1.42,1.47,1372700,1.47
