Date,Open,High,Low,Close,Volume,Adj Close
2009-11-20,23.50,23.57,23.30,23.46,36317900,23.46
2009-11-19,23.87,23.88,23.41,23.68,38099900,23.68
2009-11-18,24.01,24.04,23.79,24.00,27234800,24.00
2009-11-17,23.92,24.11,23.82,24.09,37174400,24.09
2009-11-16,23.77,24.10,23.65,23.87,47498900,23.87
2009-11-13,23.51,23.80,23.45,23.71,35764000,23.71
2009-11-12,23.74,23.84,23.17,23.40,63813300,23.40
2009-11-11,23.73,24.00,23.71,23.92,39225600,23.92
2009-11-10,23.70,23.87,23.55,23.65,43070500,23.65
2009-11-09,23.93,24.00,23.72,23.99,46891200,23.99
2009-11-06,23.71,24.00,23.66,23.82,36617400,23.82
2009-11-05,24.05,24.07,23.62,23.93,87726300,23.93
2009-11-04,23.31,23.43,23.00,23.29,65383000,23.29
2009-11-03,22.82,23.04,22.55,22.91,46367400,22.91
2009-11-02,22.87,23.20,22.62,23.00,55068200,23.00
2009-10-30,23.46,23.48,22.64,22.81,61193000,22.81
2009-10-29,23.11,23.58,23.06,23.52,40053400,23.52
2009-10-28,23.37,23.53,22.97,23.02,47516200,23.02
2009-10-27,23.72,23.95,23.40,23.54,42696300,23.54
2009-10-26,24.15,24.40,23.63,23.70,45679600,23.70
2009-10-23,24.52,24.52,24.03,24.17,42526300,24.17
2009-10-22,23.90,24.25,23.83,24.18,33909000,24.18
2009-10-21,24.12,24.50,23.85,23.96,41880500,23.96
2009-10-20,24.37,24.55,23.96,24.11,52450500,24.11
2009-10-19,24.13,24.83,23.96,24.25,30644700,24.25
2009-10-16,24.10,24.13,23.70,24.02,38024200,24.02
2009-10-15,24.25,24.37,24.06,24.37,35858400,24.37
2009-10-14,24.26,24.50,24.18,24.38,49209400,24.38
2009-10-13,23.58,24.13,23.57,23.89,45600500,23.89
2009-10-12,24.07,24.22,23.62,23.78,32797500,23.78
2009-10-09,23.64,24.08,23.50,24.03,45650000,24.03
2009-10-08,23.83,23.92,23.55,23.67,45902600,23.67
2009-10-07,23.48,23.78,23.41,23.61,43251500,23.61
2009-10-06,23.16,23.57,23.07,23.35,41395900,23.35
2009-10-05,22.91,23.11,22.58,22.94,38746900,22.94
2009-10-02,22.86,23.08,22.62,22.67,42035100,22.67
2009-10-01,23.35,23.58,23.07,23.09,63043900,23.09
2009-09-30,23.55,23.79,22.96,23.54,64479300,23.54
2009-09-29,23.62,23.74,23.21,23.30,40230500,23.30
2009-09-28,23.29,23.87,23.27,23.61,68919000,23.61
2009-09-25,22.57,22.92,22.57,22.62,41074700,22.62
2009-09-24,22.84,22.99,22.46,22.65,39003000,22.65
2009-09-23,23.52,23.53,22.75,22.80,65546000,22.80
2009-09-22,23.71,23.72,23.30,23.41,34927600,23.41
2009-09-21,23.20,23.85,23.18,23.63,51075300,23.63
2009-09-18,23.50,23.61,23.24,23.40,53795300,23.40
2009-09-17,23.22,23.49,23.16,23.39,40431200,23.39
2009-09-16,23.07,23.45,23.00,23.36,53658500,23.36
2009-09-15,22.83,23.19,22.66,22.98,50922100,22.98
2009-09-14,22.85,22.99,22.61,22.79,60616000,22.79
2009-09-11,22.92,23.13,22.61,23.09,53497100,23.09
2009-09-10,22.15,23.05,22.01,23.01,76624200,23.01
2009-09-09,21.97,22.52,21.96,22.23,45120800,22.23
2009-09-08,22.00,22.21,21.79,21.92,39951400,21.92
2009-09-04,21.59,21.96,21.40,21.84,28951700,21.84
2009-09-03,21.73,21.90,21.34,21.49,33833000,21.49
2009-09-02,21.09,21.73,21.07,21.55,40254300,21.55
2009-09-01,21.46,21.87,21.08,21.17,48752000,21.17
2009-08-31,21.74,21.84,21.51,21.60,31405700,21.60
2009-08-28,22.15,22.35,21.80,22.00,35945600,22.00
2009-08-27,21.67,21.91,21.47,21.88,30283800,21.88
2009-08-26,21.91,22.00,21.81,21.93,33585100,21.93
2009-08-25,22.16,22.25,21.85,22.00,28402400,22.00
2009-08-24,22.22,22.64,21.93,22.06,52702800,22.06
2009-08-21,22.08,22.27,21.77,22.19,56585800,22.19
2009-08-20,21.25,21.96,21.20,21.89,55774700,21.89
2009-08-19,20.76,21.44,20.74,21.24,39235200,21.24
2009-08-18,20.82,21.15,20.79,21.01,33338700,21.01
2009-08-17,20.94,20.96,20.68,20.73,32440200,20.73
2009-08-14,21.47,21.55,21.00,21.31,35178700,21.31
2009-08-13,21.54,21.65,21.34,21.51,38927800,21.51
2009-08-12,21.23,21.61,21.18,21.43,49469600,21.43
2009-08-11,21.47,21.53,21.06,21.17,53601800,21.17
2009-08-10,21.98,22.12,21.50,21.64,46634300,21.64
2009-08-07,22.49,22.74,22.15,22.19,46921300,22.19
2009-08-06,22.04,22.41,21.68,22.31,83322000,22.31
2009-08-05,22.55,22.57,22.01,22.17,79003200,22.17
2009-08-04,22.45,22.55,22.19,22.44,55890100,22.44
2009-08-03,22.21,22.61,22.19,22.57,61219800,22.57
2009-07-31,21.94,22.18,21.85,22.01,41668100,22.01
2009-07-30,21.98,22.40,21.84,21.98,52880000,21.98
2009-07-29,21.80,21.87,21.50,21.72,33623500,21.72
2009-07-28,21.62,21.99,21.37,21.93,40081700,21.93
2009-07-27,21.85,21.95,21.67,21.84,31602000,21.84
2009-07-24,21.48,21.97,21.42,21.88,40636200,21.88
2009-07-23,21.44,22.07,21.28,21.90,62820700,21.90
2009-07-22,21.44,21.83,21.27,21.45,52608700,21.45
2009-07-21,21.27,21.59,20.88,21.59,72575100,21.59
2009-07-20,20.82,21.27,20.80,21.15,78883200,21.15
2009-07-17,20.18,20.58,19.98,20.51,69173300,20.51
2009-07-16,19.74,20.20,19.71,20.12,57779400,20.12
2009-07-15,19.32,19.88,19.16,19.81,87943200,19.81
2009-07-14,18.43,18.94,18.43,18.73,46982000,18.73
2009-07-13,18.41,18.58,17.92,18.57,62374700,18.57
2009-07-10,18.08,18.45,18.02,18.34,46638100,18.34
2009-07-09,18.27,18.51,18.06,18.17,52949400,18.17
2009-07-08,18.25,18.33,17.82,18.13,53554200,18.13
2009-07-07,18.54,18.62,18.19,18.24,41560400,18.24
2009-07-06,18.32,18.70,18.30,18.53,35302300,18.53
2009-07-02,18.67,18.73,18.45,18.50,41562600,18.50
2009-07-01,18.84,19.10,18.76,18.80,36650000,18.80
2009-06-30,18.94,19.07,18.53,18.65,53792300,18.65
2009-06-29,19.00,19.05,18.79,18.99,49234600,18.99
2009-06-26,18.92,19.16,18.85,18.91,47177400,18.91
2009-06-25,18.59,19.19,18.50,19.03,43535600,19.03
2009-06-24,18.74,19.00,18.52,18.61,47138200,18.61
2009-06-23,18.43,18.71,18.25,18.57,42673600,18.57
2009-06-22,18.75,18.80,18.35,18.41,46178100,18.41
2009-06-19,19.18,19.20,18.80,18.92,71703600,18.92
2009-06-18,19.23,19.29,18.92,18.99,37563900,18.99
2009-06-17,19.04,19.49,18.97,19.20,48812300,19.20
2009-06-16,19.42,19.48,19.03,19.08,45359200,19.08
2009-06-15,19.68,19.70,19.10,19.36,47976000,19.36
2009-06-12,19.93,20.00,19.63,19.91,41365200,19.91
2009-06-11,19.93,20.35,19.90,20.10,44781700,20.10
2009-06-10,20.19,20.24,19.60,19.95,58386500,19.95
2009-06-09,19.95,20.20,19.68,20.08,49764200,20.08
2009-06-08,19.74,20.06,19.53,19.87,42855000,19.87
2009-06-05,19.94,20.02,19.52,19.87,86043900,19.87
2009-06-04,19.46,19.81,19.30,19.67,40586000,19.67
2009-06-03,19.55,19.61,19.10,19.36,55115000,19.36
2009-06-02,19.57,19.86,19.41,19.61,53783700,19.61
2009-06-01,19.15,19.77,19.01,19.50,103321500,19.50
2009-05-29,18.54,18.60,18.09,18.50,61032200,18.50
2009-05-28,18.35,18.66,18.06,18.51,53071000,18.51
2009-05-27,18.41,18.71,18.11,18.22,40013400,18.22
2009-05-26,17.66,18.67,17.61,18.49,48659800,18.49
2009-05-22,18.09,18.15,17.66,17.90,33243700,17.90
2009-05-21,18.43,18.50,17.85,18.10,63308400,18.10
2009-05-20,19.02,19.06,18.46,18.60,49031000,18.60
2009-05-19,18.71,19.35,18.64,18.88,53818200,18.88
2009-05-18,18.14,18.81,18.06,18.72,67489600,18.72
2009-05-15,18.14,18.21,17.77,17.92,72110100,17.92
2009-05-14,18.07,18.29,18.05,18.09,43080700,18.09
2009-05-13,18.49,18.60,18.03,18.05,50715000,18.05
2009-05-12,18.67,18.82,18.55,18.72,39761800,18.72
2009-05-11,18.45,18.83,18.27,18.61,44319000,18.61
2009-05-08,19.00,19.22,18.55,18.73,65443000,18.73
2009-05-07,20.00,20.00,18.60,18.95,92373300,18.95
2009-05-06,19.76,19.85,19.03,19.61,93198900,19.61
2009-05-05,19.50,19.63,19.28,19.63,46373400,19.63
2009-05-04,19.82,19.87,19.26,19.50,63902300,19.50
2009-05-01,19.24,19.78,19.06,19.58,40337500,19.58
2009-04-30,19.69,19.93,19.10,19.32,60350800,19.32
2009-04-29,18.83,19.53,18.73,19.25,48496600,19.25
2009-04-28,18.30,18.96,18.15,18.67,47820200,18.67
2009-04-27,18.10,18.59,18.01,18.37,42312900,18.37
2009-04-24,18.12,18.50,17.97,18.42,55664900,18.42
2009-04-23,17.52,17.64,17.13,17.62,44000300,17.62
2009-04-22,17.45,18.02,17.43,17.44,54728000,17.44
2009-04-21,17.20,17.79,17.14,17.69,45749000,17.69
2009-04-20,17.71,17.79,17.20,17.31,55165100,17.31
2009-04-17,18.10,18.17,17.83,17.99,55983700,17.99
2009-04-16,17.82,18.18,17.65,18.08,51379800,18.08
2009-04-15,17.75,18.00,17.34,17.56,51890600,17.56
2009-04-14,17.80,18.18,17.61,17.93,42813500,17.93
2009-04-13,17.85,18.05,17.76,17.89,33965000,17.89
2009-04-09,17.67,18.08,17.58,17.82,53094200,17.82
2009-04-08,17.29,17.33,16.94,17.13,45389100,17.13
2009-04-07,17.20,17.25,16.58,16.85,59902600,16.85
2009-04-06,17.56,17.64,17.07,17.53,63355500,17.53
2009-04-03,18.30,18.54,17.95,18.16,59472600,18.16
2009-04-02,17.83,18.61,17.79,18.14,88337600,18.14
2009-04-01,16.51,17.54,16.30,17.46,73415300,17.46
2009-03-31,16.53,17.01,16.37,16.77,58907000,16.77
2009-03-30,16.57,16.57,16.08,16.31,45060500,16.31
2009-03-27,17.00,17.17,16.85,16.95,37833600,16.95
2009-03-26,16.80,17.39,16.76,17.31,58048800,17.31
2009-03-25,16.50,17.05,16.28,16.57,64202300,16.57
2009-03-24,16.70,17.04,16.58,16.68,44592600,16.68
2009-03-23,16.31,17.00,15.90,16.98,64333300,16.98
2009-03-20,16.37,16.57,15.75,15.91,66078200,15.91
2009-03-19,16.68,16.68,16.06,16.23,56670100,16.23
2009-03-18,16.03,16.94,16.02,16.50,85018400,16.50
2009-03-17,15.72,16.15,15.57,16.14,52090300,16.14
2009-03-16,15.79,15.88,15.35,15.45,50265100,15.45
2009-03-13,15.46,15.69,15.25,15.51,43118900,15.51
2009-03-12,15.00,15.51,14.77,15.51,49609300,15.51
2009-03-11,14.79,15.20,14.52,15.02,55002400,15.02
2009-03-10,14.04,14.79,13.92,14.64,71743300,14.64
2009-03-09,14.00,14.43,13.61,13.62,78274900,13.62
2009-03-06,14.58,14.93,13.98,14.18,113692300,14.18
2009-03-05,14.94,15.09,14.51,14.55,67034500,14.55
2009-03-04,14.64,15.52,14.63,15.25,69574200,15.25
2009-03-03,14.49,14.73,14.36,14.39,62320000,14.39
2009-03-02,14.33,14.78,14.27,14.32,59924500,14.32
2009-02-27,14.30,14.82,14.30,14.57,76734300,14.57
2009-02-26,15.05,15.21,14.49,14.49,51007600,14.49
2009-02-25,14.92,15.13,14.37,14.77,56278900,14.77
2009-02-24,14.39,15.05,14.38,14.99,55486800,14.99
2009-02-23,15.20,15.35,14.31,14.36,51687900,14.36
2009-02-20,14.96,15.34,14.88,15.08,59376600,15.08
2009-02-19,15.46,15.52,15.01,15.04,42978400,15.04
2009-02-18,15.45,15.73,15.15,15.37,40630400,15.37
2009-02-17,15.68,15.76,15.28,15.29,47981100,15.29
2009-02-13,16.20,16.46,15.95,16.10,43639500,16.10
2009-02-12,15.97,16.22,15.63,16.20,57645800,16.20
2009-02-11,16.18,16.27,15.85,16.17,46279800,16.17
2009-02-10,16.59,16.93,15.92,16.05,69149100,16.05
2009-02-09,16.99,17.05,16.62,16.85,37624300,16.85
2009-02-06,16.42,17.09,16.21,17.04,62910000,17.04
2009-02-05,15.54,16.65,15.45,16.35,115564600,16.35
2009-02-04,15.72,16.16,15.38,15.84,95781900,15.84
2009-02-03,15.48,15.75,15.01,15.62,65932300,15.62
2009-02-02,14.86,15.46,14.83,15.31,55290500,15.31
2009-01-30,15.91,16.09,14.91,14.97,75292400,14.97
2009-01-29,16.70,16.70,15.80,15.93,53220800,15.93
2009-01-28,17.06,17.19,16.69,16.88,60146800,16.88
2009-01-27,16.43,17.00,16.29,16.73,50346800,16.73
2009-01-26,15.85,16.50,15.78,16.30,44634800,16.30
2009-01-23,15.04,16.02,15.00,15.89,56556900,15.89
2009-01-22,15.38,15.59,15.00,15.37,56676100,15.37
2009-01-21,15.32,15.76,15.05,15.70,56231900,15.70
2009-01-20,15.81,15.93,15.01,15.01,57808600,15.01
2009-01-16,16.22,16.33,15.50,15.82,66930700,15.82
2009-01-15,15.62,15.95,15.19,15.81,61814500,15.81
2009-01-14,16.10,16.22,15.60,15.74,50111800,15.74
2009-01-13,16.29,16.54,16.11,16.45,51933800,16.45
2009-01-12,16.68,16.78,16.03,16.40,54927700,16.40
2009-01-09,17.24,17.26,16.61,16.70,68118900,16.70
2009-01-08,17.23,17.57,17.00,17.54,46484600,17.54
2009-01-07,17.37,17.58,17.11,17.32,50246600,17.32
2009-01-06,17.33,17.98,17.26,17.79,58256600,17.79
2009-01-05,16.85,17.30,16.75,17.11,45480200,17.11
