"Date ";"Location";"FP";"JDH";"Other";"Duration";"Notes"
"12/01/04";"University of California, Berkeley";"X";"X";;"1 ½ day";"Invited by J. Millman, ~ 20 attendees."
"07/01/05";"Los Alamos National Laboratory";"X";"X";;"1 ½ day";"Invited by Aric Hagberg, summer math research students and some staff."
"03/01/06";"Stellenbosch University, South Africa";"X";;"Stefan van der Walt";"2 days";"~40 attendees, faculty and students."
"08/16/06";"California Institute of Technology (Scipy 2006)";"X";"X";;"2 hours";
"03/01/07";"University of Michigan at Ann Arbor";"X";"X";;"1 ½ day";"Invited by Amy Bauer. Approx 33 attendees, mix of students, postdocs and faculty."
"08/14/07";"California Institute of Technology (Scipy 2007)";"X";;"Brian Granger";"1 day";"Single-day compressed introduction, ~70 attendees"
"10/27/07";"Claremont McKenna college, California.";;"X";"A Straw";"1 ½ day";"~30, undergrads, some faculty."
"12/01/07";"National Center for Atmospheric Research (NCAR), Boulder, Colorado.";"X";"X";;"2 days";"Invited by Mary Hayley.  ~20 attendees, mix of research scientists and staff programmers."
"08/01/08";"California Institute of Technology (Scipy 2008)";"X";;"Perry Greenfield, Michael Droetboom";"2 days";"Varying attendance, between 15 and 50."
"10/09/08";"University of California, Berkeley";"X";;"Matthew Brett (matlab i/o)";"2 days";"~20: grad students, postdocs"
"10/25/08";"Claremont McKenna college, California.";"X";"X";;"1 ½ day";"~30, undergrads, some faculty."
"08/18/09";"California Institute of Technology (Scipy 2009)";;"X";;"2 hours";"~80, matplotlib tutorial in advanced track"
"11/22/09";"Claremont McKenna college, California.";"X";"X";;"1 ½ day";"~30, undergrads, some faculty."
"02/10/2010";"Universidad de Antioquia, Medellín, Colombia";"x";;;"1 month";"~30 students, physics, engineering, ~5 faculty."
"02/17/2010";"Universidad de los Andes, Bogotá, Colombia";"x";;;"1 day";"~30: grad students, faculty. Sciences and engineering."
"04/17/2010";"University High School of Indiana, Carmel, IN";"x";"x";;"1 day";"~12: 8 high school students, three teachers, one parent (scientist)"
"06/17/2010";"Universidad Autonoma de Barcelona, Spain";"x";"x";;;
"10/22/2010";"Claremont McKenna college, California.";"X";"X";;"1 ½ day";"~20, undergrads, some faculty."
